codigobarras,producto,marca,descripcion,precio,preciopublico
codigobarras,producto,marca,descripcion,precio,preciopublico
codigobarras,producto,marca,descripcion,precio,preciopublico
7794000006096,mayonesa,hellmanns,clasica 118g,115,150
7791866001197,mayonesa,natura,clasica 118g,126,160
7794000005013,mostaza,savora,original 60g,65,100
7790080014709,queso rallado,sancor,reggianito 40g,130,180
7790742222909,queso,la serenisima,rallado 35g,130,180
7794000003613,ketchup,hellmanns,60g,59,100
7790150079898,cafe,la virginia,sobre 5g,18,40
7790070413574,pan rallado,favorita,450g,130,180
7790070411488,pan rallado,preferido,500g,140,190
7798048720471,maiz pisingallo,olinto,400g,80,120
7798048720907,maiz pisingallo,elio,400g,110,150
7798001880235,grasa,esani,vacuna 500g,300,360
7791954001016,semola fina,exclusivo,400g,110,160
7798031156072,fideos,sol pampeano,cornetin,70,100
7798031151046,fideos,sol pampeano,tirabuzon,70,100
7798031151220,fideos,sol pampeano,celentano,70,100
7790036048260,vino,uvita,blanco dulce 1l,230,270
ver-item-3,pera,verduleria,pera,200,200
ver-item-4,kiwi,verduleria,kiwi,100,100
ver-item-6,cebolla,verduleria,cebolla,370,370
ver-item-7,papa,verduleria,papa,140,140
ver-item-8,a,verduleria,a,1,1
ver-item-9,b,verduleria,b,1,1
ver-item-10,bb,verduleria,bb,1,1
ver-item-11,ase,verduleria,ase,11,11
ver-item-12,kook,verduleria,kook,129,129
ver-item-13,ahre,verduleria,ahre,1,1
ver-item-14,ndeah,verduleria,ndeah,124,124
